ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,PROMEDIO DIARIO EN HORAS,LATITUD,LONGITUD
91,AMAZONAS,91001,LETICIA,91001000,2024,6,3994102,1010671.0,7824.51,24.0,-3.530058784,-70.04513691
91,AMAZONAS,91540,PUERTO NARIÑO,91540000,2024,6,127838,40378.0,256.0,24.0,-3.631323222,-70.47199039
91,AMAZONAS,91798,TARAPACA (ANM),91798000,2024,6,26578,11917.0,101.43,10.18,-2.451794264,-70.00651535
88,ARCHIPIÉLAGO DE SAN ANDRÉS y PROVIDENCIA,88564,PROVIDENCIA,88564000,2024,6,1284196,274864.0,2241.56,24.0,13.3511096,-81.37388549
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001007,2024,6,60724,28336.0,265.63,9.4,10.46343362,-75.45889915
13,BOLÍVAR,13001,CARTAGENA DE INDIAS,13001017,2024,6,12040,3944.0,53.41,9.24,10.46343362,-75.45889915
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001,2024,6,18647,8183.0,104.26,7.43,0.647693081,-74.27235499
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002,2024,6,4127,1932.0,39.4,4.27,0.647693081,-74.27235499
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002,2024,6,8770,3282.0,32.35,14.56,1.308465061,-74.19746971
19,CAUCA,19318,GUAPI,19318008,2024,6,9158,4037.0,43.34,9.22,2.41326696,-77.69047531
19,CAUCA,19318,GUAPI,19318013,2024,6,12520,6833.0,54.59,9.36,2.41326696,-77.69047531
19,CAUCA,19418,LÓPEZ DE MICAY,19418009,2024,6,6719,3215.0,36.0,8.22,2.95819877,-77.24212158
19,CAUCA,19809,TIMBIQUÍ,19809014,2024,6,3571,875.0,22.0,7.26,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809003,2024,6,5703,4209.0,29.76,7.5,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809026,2024,6,2593,1121.0,36.55,2.56,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809007,2024,6,6642,4607.0,35.35,7.38,2.699475127,-77.49131577
19,CAUCA,19809,TIMBIQUÍ,19809009,2024,6,3387,1002.0,20.2,7.04,2.699475127,-77.49131577
